title,year,genre,users_rating,votes,languages,directors,runtime
Gara-Gara Bola,2008,Comedy,5.3,40,Indonesian,Agasyah Karim,75 min
Hantu Aborsi,2008,Horror,2.6,14,Indonesian,Toto Hoedi,90 min
Hantu Ambulance,2008,Horror,3.1,29,Indonesian,Nayato Fio Nuala,
Hantu Jembatan Ancol,2008,Horror,3.7,23,Indonesian,Arie Azis,90 min
Hantu Perawan Jeruk Purut,2008,Horror,2.7,22,Indonesian,Nayato Fio Nuala,80 min
In the Name of Love,2008,Drama,5.3,35,Indonesian,Rudy Soedjarwo,127 min
Kado Hari Jadi,2008,Thriller,4.3,16,Indonesian,Paul Agusta,
Kalau Cinta Jangan Cengeng,2008,Drama,4.6,9,Indonesian,Monty Tiwa,112 min
Karma,2008,Thriller,7,32,Indonesian,Allan Lunardi,90 min
Kawin Kontrak,2008,Comedy,4.8,44,Indonesian,Ody C. Harahap,
Kawin Kontrak Lagi,2008,Comedy,4.4,34,Indonesian,Ody C. Harahap,
Kekasih,2008,Drama,5.2,5,Indonesian,Wisnu Adi,90 min
Kereta Hantu Manggarai,2008,Horror,5.1,195,Indonesian,Nayato Fio Nuala,89 min
Kesurupan,2008,Horror,4.4,26,Indonesian,Rizal Mantovani,99 min
Ku Tunggu Jandamu,2008,Comedy,3.2,19,Indonesian,Findo Purwono,
Kun fayakuun,2008,Drama,6.7,14,Indonesian,Guntur Novaris,
Kuntilanak 3,2008,Horror,5.3,169,Indonesian,Rizal Mantovani,
Laskar Pelangi,2008,Adventure,7.8,"2,045",Indonesian,Riri Riza,124 min
Liar,2008,,4.6,11,Indonesian,Rudy Soedjarwo,
Lost in Love,2008,Drama,6.7,85,Indonesian,Rachmania Arunita,126 min
Love,2008,Drama,6.5,76,Indonesian,Kabir Bhatia,102 min
MBA: Married by Accident,2008,Comedy,6,20,Indonesian,Winaldha E. Melalatoa,
Mas Suka Masukin Aja,2008,Comedy,1.4,9,Indonesian,Rully Manna,90 min
May,2008,Drama,5.3,7,Indonesian,Viva Westi,105 min
Mengaku Rasul,2008,Drama,6,13,Indonesian,Helfi C.H. Kardit,
